基于用户交互行为学习的移动应用与服务优化,刘譞哲
Security Assessment of Mobile Apps,罗夏朴
软件可靠性：从服务计算到区块链,郑子彬
How do Developers Fix Cross-project Correlated Bugs?,陈林,[<a href="files/slide/yoser2017-linchen.pdf" target="_blank">pdf</a>]
函数参数的文本分析及其应用,刘辉,[<a href="files/slide/yoser2017-huiliu.pdf" target="_blank">pdf</a>]
现场讨论：安卓应用测试人机大战,房春荣
我眼中的软件工程研究,熊英飞,[<a href="files/slide/yoser2017-yingfeixiong.pdf" target="_blank">pdf</a>]
浅谈如何做软件工程研究,江贺,[<a href="files/slide/yoser2017-hejiang.pdf" target="_blank">pdf</a>]
Boosting Complete-code Tools for Partial Program Analysis and its Applications,钟浩,[<a href="files/slide/yoser2017-haozhong.pdf" target="_blank">pdf</a>]
Planning and Executing Practice-Impactful Research,谢涛,[<a href="files/slide/yoser2017-taoxie.pdf" target="_blank">pdf</a>]<br>[<a href="https://www.slideshare.net/taoxiease/planning-and-executing-practiceimpactful-research" target="_blank">SlideShare</a>]<br>[<a href="http://taoxie.cs.illinois.edu/publications/practiceimpactresearch2017-taoxie.pdf" target="_blank">Homepage</a>]
Contract-base Program Repair without the Contracts,裴玉,[<a href="files/slide/yoser2017-yupei.pdf" target="_blank">pdf</a>]
浅谈软件⼯程论⽂的写作,张路,[<a href="files/slide/yoser2017-luzhang.pdf" target="_blank">pdf</a>]
Automated Synthesis of Semantic Malware Signatures using Maximum Satisfiability,冯煜